ID,Address_in,Match,Match_type,Address_out,Coords,Line_ID,Line_side,State,County,Tract,Block
123,"00135 PROSPECTST, New Haven, CT",Match,Exact,"135 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92379,41.318176",618696080,R,9,9,361402,1000
124,"00139 YORK ST, New Haven, CT",Match,Exact,"139 YORK ST, NEW HAVEN, CT, 06511","-72.93242,41.30734",3701124,R,9,9,361401,1004
125,"00140 HIGH ST, New Haven, CT",Tie,,,,,,,,,
126,"00143 ELM ST, New Haven, CT",Match,Exact,"143 ELM ST, NEW HAVEN, CT, 06511","-72.92576,41.30891",3701185,R,9,9,361402,2006
127,"00149 ELM ST, New Haven, CT",Match,Exact,"149 ELM ST, NEW HAVEN, CT, 06511","-72.92594,41.308983",3701185,R,9,9,361402,2006
128,"00149 YORK ST, New Haven, CT",Match,Exact,"149 YORK ST, NEW HAVEN, CT, 06511","-72.9323,41.307503",3701124,R,9,9,361401,1004
129,"00150 HIGHLAND ST, New Haven, CT",Match,Exact,"150 HIGHLAND ST, NEW HAVEN, CT, 06511","-72.9206,41.328426",3699826,L,9,9,141800,1016
130,"00150 MUNSON ST, New Haven, CT",Match,Exact,"150 MUNSON ST, NEW HAVEN, CT, 06511","-72.92905,41.32152",641101215,L,9,9,141600,1001
131,"00150 YALE AV, New Haven, CT",Match,Exact,"150 YALE AVE, NEW HAVEN, CT, 06515","-72.95938,41.315155",3697716,L,9,9,141000,2016
132,"00150 YORK ST, New Haven, CT",Match,Exact,"150 YORK ST, NEW HAVEN, CT, 06511","-72.93207,41.30782",3701124,L,9,9,361401,1005
133,"00156 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
134,"00158 WHITNEY AV, New Haven, CT",No_Match,,,,,,,,,
135,"00160 SAINT RONAN ST, New Haven, CT",Match,Exact,"160 SAINT RONAN ST, NEW HAVEN, CT, 06511","-72.92015,41.320656",3699984,L,9,9,141800,2001
136,"00165 CENTRAL AV, New Haven, CT",Tie,,,,,,,,,
137,"00165 ELM ST, New Haven, CT",Match,Exact,"165 ELM ST, NEW HAVEN, CT, 06511","-72.92643,41.309185",3701185,R,9,9,361402,2006
138,"00165 PROSPECTST, New Haven, CT",Match,Exact,"165 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92373,41.31839",618696080,R,9,9,361402,1000
139,"00173 GROVE ST, New Haven, CT",Match,Exact,"173 GROVE ST, NEW HAVEN, CT, 06511","-72.92335,41.310787",3701201,R,9,9,142000,3008
140,"00174 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
141,"00175 WHITNEY AV, New Haven, CT",Match,Exact,"175 WHITNEY AVE, NEW HAVEN, CT, 06510","-72.91997,41.31734",637984016,R,9,9,142000,3002
142,"00180 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
143,"00180 WHITNEY AV, New Haven, CT",No_Match,,,,,,,,,
144,"00182 WINCHESTER AV, New Haven, CT",Match,Exact,"182 WINCHESTER AVE, NEW HAVEN, CT, 06511","-72.92731,41.318043",3701094,L,9,9,141600,1001
145,"00182 YORK ST, New Haven, CT",Match,Exact,"182 YORK ST, NEW HAVEN, CT, 06511","-72.93143,41.308678",3701131,L,9,9,361401,3007
146,"00184 LIBERTY ST, New Haven, CT",Match,Exact,"184 LIBERTY ST, NEW HAVEN, CT, 06519","-72.932655,41.301586",637860456,L,9,9,140300,2020
147,"00188 LAFAYETTE ST, New Haven, CT",Match,Exact,"188 LAFAYETTE ST, NEW HAVEN, CT, 06519","-72.93051,41.302105",3744443,L,9,9,140300,2017
148,"00189 ELM ST, New Haven, CT",Match,Exact,"189 ELM ST, NEW HAVEN, CT, 06511","-72.927536,41.309643",638551938,R,9,9,361402,2005
149,"00192 WASHINGTON AV, New Haven, CT",Tie,,,,,,,,,
150,"00194 YORK ST, New Haven, CT",Match,Exact,"194 YORK ST, NEW HAVEN, CT, 06511","-72.93126,41.308914",3701131,L,9,9,361401,3007
151,"00196 LAFAYETTE ST, New Haven, CT",Match,Exact,"196 LAFAYETTE ST, NEW HAVEN, CT, 06519","-72.930534,41.30213",3744443,L,9,9,140300,2017
152,"00197 YORK ST, New Haven, CT",Match,Exact,"197 YORK ST, NEW HAVEN, CT, 06511","-72.931694,41.308285",3701124,R,9,9,361401,1004
153,"00200 CONRAD DR, New Haven, CT",Match,Exact,"200 CONRAD DR, NEW HAVEN, CT, 06515","-72.98084,41.32013",3697243,L,9,9,141100,1009
154,"00200 ELM ST, New Haven, CT",Match,Exact,"200 ELM ST, NEW HAVEN, CT, 06511","-72.928154,41.309883",638551938,L,9,9,361401,1002
155,"00200 PROSPECTST, New Haven, CT",Match,Exact,"200 PROSPECT ST, NEW HAVEN, CT, 06511","-72.924324,41.31627",618696079,L,9,9,361402,1001
156,"00200 YORK ST, New Haven, CT",Match,Exact,"200 YORK ST, NEW HAVEN, CT, 06511","-72.931175,41.309032",3701131,L,9,9,361401,3007
157,"00201 YORK ST, New Haven, CT",Match,Exact,"201 YORK ST, NEW HAVEN, CT, 06511","-72.931465,41.308594",3701131,R,9,9,361401,1003
158,"00202 YORK ST, New Haven, CT",Match,Exact,"202 YORK ST, NEW HAVEN, CT, 06511","-72.931145,41.30907",3701131,L,9,9,361401,3007
