Unique ID,Exempt Code,Address,Owner Or Facility,,Volume And Page,Acreage,Land Assessment,Building Assessment,Total Assessment,OPMAssessment
223 0382 00174,PABX,00055 WHITNEY AV 7,YALE UNIVERSITY,,6171/170,0,0,1572620,1572620,1572620
223 0334 01603,PABX,00058 WHITNEY AV,YALE UNIVERSITY,,3408/20,0.11,194390,415660,610050,610050
281 0329 00203,PABX,00060 ASHMUN ST,YALE UNIVERSITY,,0/0,0.09,108080,5320,113400,113400
261 0252 00200,PABX,00061 HIGH ST,YALE UNIVERSITY,,5150/1,2.93,2301740,20275780,22577520,22577520
281 0329 00202,PABX,00064 ASHMUN ST,YALE UNIVERSITY,,0/0,0.09,108080,5460,113540,113540
377 1079 00200,PABX,00067 CENTRAL AV,YALE UNIVERSITY,,0/0,4.02,722540,4758530,5481070,5481070
281 0329 00201,PABX,00068 ASHMUN ST,YALE UNIVERSITY,,0/0,0.11,132090,6720,138810,138810
258 0359 01000,PABX,00068 MANSFIELD ST,YALE UNIVERSITY,,0/0,0.32,81200,256760,337960,337960
223 0334 01602,PABX,00068 WHITNEY AV,YALE UNIVERSITY,,3408/20,0.04,106890,106260,213150,213150
296 0328 02400,PABX,00069 GOFFE ST,YALE UNIVERSITY,,6134/167,0.57,76020,162470,238490,238490
258 1294 00100,PABX,00070 SACHEM ST,YALE UNIVERSITY,,9172/313,6.51,3451210,398439300,401890510,401890510
281 0329 00600,PABX,00070 YORK SQUARE PL,YALE UNIVERSITY,,0/0,6.37,7649110,53202170,60851280,60851280
281 0329 00200,PABX,00074 ASHMUN ST,YALE UNIVERSITY,,0/0,0.13,156100,17150,173250,173250
243 0289 00702,PABX,00074 WALL ST,YALE UNIVERSITY,,0/0,0.05,232610,0,232610,232610
243 0289 00701,PABX,00076 WALL ST,YALE UNIVERSITY,,0/0,0.04,196840,0,196840,196840
281 0329 00100,PABX,00078 ASHMUN ST,YALE UNIVERSITY,,9424/179,0.05,21140,104440,125580,125580
243 0289 00700,PABX,00078 WALL ST,YALE UNIVERSITY,,0/0,0.04,196840,0,196840,196840
243 0289 00600,PABX,00080 WALL ST,YALE UNIVERSITY,,0/0,0.14,543060,1522850,2065910,2065910
243 0289 00401,PABX,00082 WALL ST,YALE UNIVERSITY,,2368/748,0.15,215040,801570,1016610,1016610
244 0365 01500,PABX,00085 TRUMBULL ST,YALE UNIVERSITY,,0/0,0.19,194460,0,194460,194460
243 0289 00301,PABX,00086 WALL ST,YALE UNIVERSITY,,2446/205,0.07,158760,237510,396270,396270
296 0328 02800,PABX,00087 GOFFE ST,YALE UNIVERSITY,,7353/100,0.27,63490,178710,242200,242200
244 0364 00900,PABX,00087 TRUMBULL ST,YALE UNIVERSITY,,0/0,0.11,122570,427210,549780,549780
244 0333 00600,PABX,00088 TRUMBULL ST,YALE UNIVERSITY,,0/0,0.17,191310,11410,202720,202720
296 0328 02900,PABX,00089 GOFFE ST,YALE UNIVERSITY,,8704/11,0.23,61460,26810,88270,88270
244 0364 01000,PABX,00089 TRUMBULL ST,YALE UNIVERSITY,,0/0,0.07,132160,2645090,2777250,2777250
243 0289 00201,PABX,00090 WALL ST,YALE UNIVERSITY,,2368/748,0.04,112420,122710,235130,235130
244 0364 00100,PABX,00091 TRUMBULL ST,YALE UNIVERSITY,,0/0,0.2,156660,2575510,2732170,2732170
281 0350 00300,PABX,00096 ASHMUN ST,YALE UNIVERSITY,,9156/26,0.09,20860,0,20860,20860
281 0350 00200,PABX,00100 ASHMUN ST,YALE UNIVERSITY,,9156/26,0.09,41930,175840,217770,217770
264 0103 00100,PABX,00100 CHURCH ST SOUTH,YALE UNIVERSITY,,8312/302,4.64,2089360,6688640,8778000,8778000
258 0353 01200,PABX,00101 ASHMUN ST,YALE UNIVERSITY,,8709/7,1.1,710360,144786250,145496610,145496610
264 0121 00403,PABX,00104 WASHINGTON AV,AMISTAD PARTNERS LLC,,6655/94,2.09,51310,0,51310,51310
260 0309 00400,PABX,00109 WALL ST,YALE UNIVERSITY,,0/0,0.66,759570,1883140,2642710,2642710
260 0288 00101,PABX,00110 WALL ST,YALE UNIVERSITY,,0/0,1.34,1052660,0,1052660,1052660
