"17276","102 WOODSIDE TER, New Haven, CT, ","Match","Exact","102 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.969475,41.3216","3697338","L","09","009","141000","3007"
"17270","20 WOODSIDE TER, New Haven, CT, ","Match","Exact","20 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.96955,41.321125","3697338","L","09","009","141000","3007"
"17271","34 WOODSIDE TER, New Haven, CT, ","Match","Exact","34 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.96954,41.321205","3697338","L","09","009","141000","3007"
"17272","50 WOODSIDE TER, New Haven, CT, ","Match","Exact","50 WOODSIDE TER, NEW HAVEN, CT, 06515","-72.96953,41.3213","3697338","L","09","009","141000","3007"
"17244","191 WILLARD ST, New Haven, CT, ","Match","Exact","191 WILLARD ST, NEW HAVEN, CT, 06515","-72.967026,41.325516","3697333","R","09","009","141000","1003"
"18575","111 FREDERICK ST #1L, New Haven, CT, ","Match","Exact","111 FREDERICK ST, NEW HAVEN, CT, 06515","-72.979454,41.333874","3697079","R","09","009","141200","4003"
"17245","195 WILLARD ST, New Haven, CT, ","Match","Exact","195 WILLARD ST, NEW HAVEN, CT, 06515","-72.96707,41.325527","3697333","R","09","009","141000","1003"
"18576","111 FREDERICK ST #2R, New Haven, CT, ","Match","Exact","111 FREDERICK ST, NEW HAVEN, CT, 06515","-72.979454,41.333874","3697079","R","09","009","141200","4003"
"17246","197 WILLARD ST, New Haven, CT, ","Match","Exact","197 WILLARD ST, NEW HAVEN, CT, 06515","-72.967094,41.325535","3697333","R","09","009","141000","1003"
"18577","111 FREDERICK ST #2L, New Haven, CT, ","Match","Exact","111 FREDERICK ST, NEW HAVEN, CT, 06515","-72.979454,41.333874","3697079","R","09","009","141200","4003"
"17247","203 WILLARD ST, New Haven, CT, ","Match","Exact","203 WILLARD ST, NEW HAVEN, CT, 06515","-72.96716,41.325554","3697333","R","09","009","141000","1003"
"18578","113 FREDERICK ST #1R, New Haven, CT, ","Match","Exact","113 FREDERICK ST, NEW HAVEN, CT, 06515","-72.97947,41.333885","3697079","R","09","009","141200","4003"
"17240","177 WILLARD ST, New Haven, CT, ","Match","Exact","177 WILLARD ST, NEW HAVEN, CT, 06515","-72.96686,41.32547","3697333","R","09","009","141000","1003"
"18571","93 FOWLER ST #1L, New Haven, CT, ","Match","Exact","93 FOWLER ST, NEW HAVEN, CT, 06515","-72.97948,41.334747","3697140","R","09","009","141200","4003"
