Unique ID,Street address,City,State,ZIP
221,BRADLEY ST,New Haven,CT,NA
222,801 ORANGE ST,New Haven,CT,NA
223,805 ORANGE ST,New Haven,CT,NA
224,163 HALLOCK AV,New Haven,CT,NA
225,809 ORANGE ST,New Haven,CT,NA
226,813 ORANGE ST,New Haven,CT,NA
227,157 HALLOCK AV,New Haven,CT,NA
228,151 HALLOCK AV,New Haven,CT,NA
229,817 ORANGE ST,New Haven,CT,NA
230,821 ORANGE ST,New Haven,CT,NA
231,825 ORANGE ST,New Haven,CT,NA
232,52 CANNER ST,New Haven,CT,NA
233,272 MUNSON ST,New Haven,CT,NA
234,270 MUNSON ST,New Haven,CT,NA
235,268 MUNSON ST,New Haven,CT,NA
236,266 MUNSON ST,New Haven,CT,NA
237,264 MUNSON ST,New Haven,CT,NA
238,42 CANNER ST,New Haven,CT,NA
239,219 TOWNSEND AV,New Haven,CT,NA
240,40 CANNER ST,New Haven,CT,NA
241,262 MUNSON ST,New Haven,CT,NA
242,38 CANNER ST,New Haven,CT,NA
243,198 FOSTER ST,New Haven,CT,NA
244,761 ORCHARD ST,New Haven,CT,NA
245,765 ORCHARD ST,New Haven,CT,NA
246,779 ORCHARD ST,New Haven,CT,NA
247,346 MUNSON ST,New Haven,CT,NA
248,344 MUNSON ST,New Haven,CT,NA
249,342 MUNSON ST,New Haven,CT,NA
250,196 FOSTER ST,New Haven,CT,NA
251,192 FOSTER ST,New Haven,CT,NA
252,BARNES AV,New Haven,CT,NA
253,BARNES AV,New Haven,CT,NA
254,117 ROSETTE ST,New Haven,CT,NA
255,111 ROSETTE ST,New Haven,CT,NA
256,129 CHAPEL ST,New Haven,CT,NA
257,508 HUNTINGTON ST,New Haven,CT,NA
258,182 FOSTER ST,New Haven,CT,NA
259,178 FOSTER ST,New Haven,CT,NA
260,186 PINE ST,New Haven,CT,NA
261,172 FOSTER ST,New Haven,CT,NA
262,165 WILLOW ST,New Haven,CT,NA
263,77 ARCH ST,New Haven,CT,NA
264,123 CHAPEL ST,New Haven,CT,NA
265,167 WILLOW ST,New Haven,CT,NA
266,223 TOWNSEND AV,New Haven,CT,NA
267,169 WILLOW ST,New Haven,CT,NA
268,93 SALTONSTALL AV,New Haven,CT,NA
269,127 BLATCHLEY AV,New Haven,CT,NA
270,132 LAMBERTON ST,New Haven,CT,NA
271,124 LAMBERTON ST,New Haven,CT,NA
272,177 WILLOW ST,New Haven,CT,NA
273,179 WILLOW ST,New Haven,CT,NA
274,EDGEMERE RD,New Haven,CT,NA
275,FORBES AV,New Haven,CT,NA
276,FORBES AV,New Haven,CT,NA
277,WHALLEY AV,New Haven,CT,NA
278,30 WOODWARD AV,New Haven,CT,NA
279,FULTON TER,New Haven,CT,NA
280,GRAND AV,New Haven,CT,NA
281,181 WILLOW ST,New Haven,CT,NA
282,185 WILLOW ST,New Haven,CT,NA
