"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"43","244 0332 00500","PABX","00010 HILLHOUSE AV","YALE UNIVERSITY",NA,"9091/251",0.75,1087030,11583950,12670980,12670980,43,"00010 HILLHOUSE AV, New Haven, CT","Match","Exact","10 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92417,41.312073",639745882,"L",9,9,361402,1012,"09009361402"
"44","281 0329 02000","PABX","00010 LAKE PL","YALE UNIVERSITY",NA,"9424/179",0.04,14490,2240,16730,16730,44,"00010 LAKE PL, New Haven, CT","Match","Exact","10 LAKE PL, NEW HAVEN, CT, 06511","-72.93217,41.31396",637983899,"L",9,9,361402,1007,"09009361402"
"45","244 0332 00400","PABX","00012 HILLHOUSE AV","YALE UNIVERSITY",NA,"9091/251",0.41,247380,1389080,1636460,1636460,45,"00012 HILLHOUSE AV, New Haven, CT","Match","Exact","12 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92411,41.312237",639745882,"L",9,9,361402,1012,"09009361402"
"46","244 0333 00400","PABX","00015 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.15,125790,616840,742630,742630,46,"00015 HILLHOUSE AV, New Haven, CT","Match","Exact","15 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.923874,41.312786",639745882,"R",9,9,361402,1013,"09009361402"
"47","244 0333 00500","PABX","00017 HILLHOUSE AV","YALE UNIVERSITY",NA,"5150/5",0.72,1416520,24909710,26326230,26326230,47,"00017 HILLHOUSE AV, New Haven, CT","Match","Exact","17 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.9238,41.31298",639745882,"R",9,9,361402,1013,"09009361402"
"48","244 0332 00200","PABX","00021 PROSPECT ST","YALE UNIVERSITY",NA,"9091/251",1.45,3256050,54656350,57912400,57912400,48,"00021 PROSPECTST, New Haven, CT","Match","Exact","21 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92544,41.312183",3701164,"R",9,9,361402,1012,"09009361402"
"49","245 0363 01300","PABX","00021 SACHEM ST","YALE UNIVERSITY",NA,"0/0",4.29,4248720,0,4248720,4248720,49,"00021 SACHEM ST, New Haven, CT","Match","Exact","21 SACHEM ST, NEW HAVEN, CT, 06511","-72.92336,41.315987",618696083,"R",9,9,361402,1000,"09009361402"
"50","261 0231 02000","PABX","00024 HIGH ST","YALE UNIVERSITY",NA,"0/0",0.09,252770,5600,258370,258370,50,"00024 HIGH ST, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"51","244 0332 00300","PABX","00024 HILLHOUSE AV","YALE UNIVERSITY",NA,"0/0",0.6,146440,946610,1093050,1093050,51,"00024 HILLHOUSE AV, New Haven, CT","Match","Exact","24 HILLHOUSE AVE, NEW HAVEN, CT, 06511","-72.92372,41.313213",639745882,"L",9,9,361402,1012,"09009361402"
"52","261 0231 01900","PABX","00026 HIGH ST","YALE UNIVERSITY",NA,"0/0",0.08,190260,295540,485800,485800,52,"00026 HIGH ST, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
