"","Unique.ID","Exempt.Code","Address","Owner.Or.Facility","X","Volume.And.Page","Acreage","Land.Assessment","Building.Assessment","Total.Assessment","OPMAssessment","ID","Address_in","Match","Match_type","Address_out","Coords","Line_ID","Line_side","State","County","Tract","Block","FIPS"
"185","245 0363 00300","PABX","00243 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",4.22,1662500,120763790,122426290,122426290,185,"00243 PROSPECTST, New Haven, CT","Match","Exact","243 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92358,41.31894",618696080,"R",9,9,361402,1001,"09009361402"
"186","243 0311 00300","PABX","00246 CHURCH ST","YALE UNIVERSITY",NA,"3599/41",0.2,576870,2103430,2680300,2680300,186,"00246 CHURCH ST, New Haven, CT","Match","Exact","246 CHURCH ST, NEW HAVEN, CT, 06510","-72.9229,41.309906",3701209,"L",9,9,361402,2000,"09009361402"
"187","277 0114 01500","PABX","00246 WASHINGTON AV","ALPHA 9 LLC",NA,"8404/291",0.08,44170,0,44170,44170,187,"00246 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"188","280 0271 01700","PABX","00248 PARK ST","YALE UNIVERSITY",NA,"6145/276",0.46,378910,2915990,3294900,3294900,188,"00248 PARK ST, New Haven, CT","Match","Exact","248 PARK ST, NEW HAVEN, CT, 06511","-72.93248,41.3103",3701116,"L",9,9,361401,3006,"09009361401"
"189","243 0311 00201","PABX","00250 CHURCH ST","YALE UNIVERSITY",NA,"0/0",0.31,421540,745430,1166970,1166970,189,"00250 CHURCH ST, New Haven, CT","Match","Exact","250 CHURCH ST, NEW HAVEN, CT, 06510","-72.92287,41.30994",3701209,"L",9,9,361402,2000,"09009361402"
"190","245 0363 01100","PABX","00256 WHITNEY AV","YALE UNIVERSITY",NA,"0/0",7.58,5630310,21071960,26702270,26702270,190,"00256 WHITNEY AV, New Haven, CT","Match","Exact","256 WHITNEY AVE, NEW HAVEN, CT, 06511","-72.91986,41.317604",637984016,"L",9,9,361402,1000,"09009361402"
"191","280 0250 00603","PABX","00256 YORK ST","YALE UNIVERSITY",NA,"0/0",0.1,196910,220220,417130,417130,191,"00256 YORK ST, New Haven, CT","Match","Exact","256 YORK ST, NEW HAVEN, CT, 06511","-72.93039,41.310135",3701131,"L",9,9,361401,3007,"09009361401"
"192","277 0114 01400","PABX","00258 WASHINGTON AV","BETA 14 LLC",NA,"8405/5",0.21,51590,0,51590,51590,192,"00258 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"193","247 0394 00800","PABX","00265 MANSFIELD ST","YALE UNIVERSITY",NA,"0/0",1.3,108920,329630,438550,438550,193,"00265 MANSFIELD ST, New Haven, CT","Match","Exact","265 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.92541,41.3234",637984137,"R",9,9,141800,3004,"09009141800"
"194","277 0114 00200","PABX","00266 CEDAR ST","BETA 14 LLC",NA,"8404/300",0.02,18340,0,18340,18340,194,"00266 CEDAR ST, New Haven, CT","Match","Exact","266 CEDAR ST, NEW HAVEN, CT, 06519","-72.932365,41.299675",3701257,"L",9,9,140300,2023,"09009140300"
"195","263 0126 00201","PABX","00270 CONGRESS AV","YALE UNIVERSITY",NA,"7879/317",0.32,235340,192640,427980,427980,195,"00270 CONGRESS AV, New Haven, CT","Match","Exact","270 CONGRESS AVE, NEW HAVEN, CT, 06519","-72.93289,41.302044",3701252,"L",9,9,140300,2013,"09009140300"
"196","262 0220 00300","PABX","00270 CROWN ST","YALE UNIVERSITY",NA,"0/0",0.19,285530,983360,1268890,1268890,196,"00270 CROWN ST, New Haven, CT","Match","Exact","270 CROWN ST, NEW HAVEN, CT, 06511","-72.930435,41.30631",3701128,"L",9,9,140100,1017,"09009140100"
"197","277 0114 01300","PABX","00270 WASHINGTON AV","BETA 14 LLC",NA,"8404/307",0.15,49210,0,49210,49210,197,"00270 WASHINGTON AV, New Haven, CT","Tie","","","",NA,"",NA,NA,NA,NA,NA
"198","280 0250 01001","PABX","00272 ELM ST","YALE UNIV CONTROLLER",NA,"3669/0",0.24,295540,2797900,3093440,3093440,198,"00272 ELM ST, New Haven, CT","Match","Exact","272 ELM ST, NEW HAVEN, CT, 06511","-72.93058,41.31089",638548534,"L",9,9,361401,3007,"09009361401"
"199","246 0362 04000","PABX","00276 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",1.23,387660,1152550,1540210,1540210,199,"00276 PROSPECTST, New Haven, CT","Match","Exact","276 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92356,41.319042",618696080,"L",9,9,361402,1001,"09009361402"
"200","285 0392 00200","PABX","00276 WINCHESTER AV","FENIX I LLC",NA,"8793/227",3.11,155750,18820200,18975950,18975950,200,"00276 WINCHESTER AV, New Haven, CT","Match","Exact","276 WINCHESTER AVE, NEW HAVEN, CT, 06511","-72.9286,41.323032",3699772,"L",9,9,141500,6005,"09009141500"
"201","245 0363 00400","PABX","00285 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",0.69,592690,36273860,36866550,36866550,201,"00285 PROSPECTST, New Haven, CT","Match","Exact","285 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92349,41.319237",618696080,"R",9,9,361402,1000,"09009361402"
"202","243 0289 01200","PABX","00294 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.08,492730,1077160,1569890,1569890,202,"00294 TEMPLE ST, New Haven, CT","Match","Exact","294 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92558,41.308502",3701196,"L",9,9,361401,1001,"09009361401"
"203","261 0231 02100","PABX","00295 CROWN ST","YALE UNIVERSITY",NA,"0/0",0.16,278390,358890,637280,637280,203,"00295 CROWN ST, New Haven, CT","Match","Exact","295 CROWN ST, NEW HAVEN, CT, 06511","-72.93133,41.306698",635790166,"R",9,9,361401,1004,"09009361401"
"204","247 0394 00900","PABX","00295 MANSFIELD ST","YALE UNIVERSITY",NA,"0/0",1.65,455000,2096500,2551500,2551500,204,"00295 MANSFIELD ST, New Haven, CT","Match","Exact","295 MANSFIELD ST, NEW HAVEN, CT, 06511","-72.925156,41.324017",637984137,"R",9,9,141800,3004,"09009141800"
"205","280 0250 00902","PABX","00296 ELM ST","YALE UNIVERSITY",NA,"0/0",0.14,160860,283710,444570,444570,205,"00296 ELM ST, New Haven, CT","Match","Exact","296 ELM ST, NEW HAVEN, CT, 06511","-72.93114,41.311058",638548534,"L",9,9,361401,3007,"09009361401"
"206","251 0509 00300","PABX","00300 EAST ROCK RD","ALBERTUS MAGNUS COLLEGE",NA,"0/0",1.4,220430,844480,1064910,1064910,206,"00300 EAST ROCK RD, New Haven, CT","Match","Exact","300 E ROCK RD, NEW HAVEN, CT, 06511","-72.9202,41.33178",637982048,"L",9,9,141800,1008,"09009141800"
"207","261 0231 02200","PABX","00301 CROWN ST","YALE UNIVERSITY",NA,"0/0",0.15,275800,372820,648620,648620,207,"00301 CROWN ST, New Haven, CT","Match","Exact","301 CROWN ST, NEW HAVEN, CT, 06511","-72.93153,41.306786",635790166,"R",9,9,361401,1004,"09009361401"
"208","245 0363 00500","PABX","00301 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",1.36,267890,980770,1248660,1248660,208,"00301 PROSPECTST, New Haven, CT","Match","Exact","301 PROSPECT ST, NEW HAVEN, CT, 06511","-72.923454,41.319347",618696080,"R",9,9,361402,1000,"09009361402"
"209","243 0289 01100","PABX","00302 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.15,552580,921970,1474550,1474550,209,"00302 TEMPLE ST, New Haven, CT","Match","Exact","302 TEMPLE ST, NEW HAVEN, CT, 06511","-72.9253,41.30888",3701190,"L",9,9,361402,2006,"09009361402"
"210","260 0307 00400","PABX","00302 YORK ST","YALE UNIVERSITY",NA,"0/0",0.05,236040,0,236040,236040,210,"00302 YORK ST, New Haven, CT","Match","Exact","302 YORK ST, NEW HAVEN, CT, 06511","-72.92927,41.311623",3701133,"L",9,9,361402,1008,"09009361402"
"211","280 0250 00901","PABX","00304 ELM ST","YALE UNIVERSITY",NA,"0/0",0.09,88270,0,88270,88270,211,"00304 ELM ST, New Haven, CT","Match","Exact","304 ELM ST, NEW HAVEN, CT, 06511","-72.93132,41.311123",638548534,"L",9,9,361401,3007,"09009361401"
"212","261 0231 02300","PABX","00307 CROWN ST","YALE UNIVERSITY",NA,"0/0",0.28,304010,1288140,1592150,1592150,212,"00307 CROWN ST, New Haven, CT","Match","Exact","307 CROWN ST, NEW HAVEN, CT, 06511","-72.93174,41.306873",635790166,"R",9,9,361401,1004,"09009361401"
"213","221 0396 01000","PABX","00309 EDWARDS ST","YALE UNIVERSITY",NA,"0/0",0.59,139160,1125180,1264340,1264340,213,"00309 EDWARDS ST, New Haven, CT","Match","Exact","309 EDWARDS ST, NEW HAVEN, CT, 06511","-72.91942,41.319717",3699986,"R",9,9,141800,2004,"09009141800"
"214","280 0250 00801","PABX","00310 ELM ST","YALE UNIVERSITY",NA,"3669/0",0.07,241780,4238710,4480490,4480490,214,"00310 ELM ST, New Haven, CT","Match","Exact","310 ELM ST, NEW HAVEN, CT, 06511","-72.93146,41.311172",638548534,"L",9,9,361401,3007,"09009361401"
"215","246 0362 03700","PABX","00310 PROSPECT ST","YALE UNIVERSITY",NA,"4249/91",0.59,292460,550550,843010,843010,215,"00310 PROSPECTST, New Haven, CT","Match","Exact","310 PROSPECT ST, NEW HAVEN, CT, 06511","-72.923355,41.319942",618696080,"L",9,9,361402,1001,"09009361402"
"216","243 0289 01000","PABX","00310 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.45,678440,27930,706370,706370,216,"00310 TEMPLE ST, New Haven, CT","Match","Exact","310 TEMPLE ST, NEW HAVEN, CT, 06511","-72.9252,41.30901",3701190,"L",9,9,361402,2006,"09009361402"
"217","261 0231 00100","PABX","00313 CROWN ST","YALE UNIVERSITY",NA,"0/0",0.1,253610,624470,878080,878080,217,"00313 CROWN ST, New Haven, CT","Match","Exact","313 CROWN ST, NEW HAVEN, CT, 06511","-72.93194,41.306965",635790166,"R",9,9,361401,1004,"09009361401"
"218","246 0362 03600","PABX","00314 PROSPECT ST","YALE UNIVERSITY",NA,"4249/91",0.81,303800,376530,680330,680330,218,"00314 PROSPECTST, New Haven, CT","Match","Exact","314 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92334,41.32005",618696080,"L",9,9,361402,1001,"09009361402"
"219","245 0363 00900","PABX","00320 EDWARDS ST","YALE UNIVERSITY",NA,"5150/8",2.24,1411970,5933690,7345660,7345660,219,"00320 EDWARDS ST, New Haven, CT","Match","Exact","320 EDWARDS ST, NEW HAVEN, CT, 06511","-72.921715,41.320026",637984079,"L",9,9,361402,1000,"09009361402"
"220","243 0289 00900","PABX","00320 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.28,608090,362110,970200,970200,220,"00320 TEMPLE ST, New Haven, CT","Match","Exact","320 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92508,41.30917",3701190,"L",9,9,361402,2006,"09009361402"
"221","260 0307 00200","PABX","00320 YORK ST","YALE UNIVERSITY",NA,"0/0",1.67,1311870,30128910,31440780,31440780,221,"00320 YORK ST, New Haven, CT","Match","Exact","320 YORK ST, NEW HAVEN, CT, 06511","-72.92896,41.312046",3701106,"L",9,9,361402,1008,"09009361402"
"222","280 0230 02300","PABX","00321 CROWN ST","YALE UNIVERSITY",NA,"7138/19",0.14,322910,17570,340480,340480,222,"00321 CROWN ST, New Haven, CT","Match","Exact","321 CROWN ST, NEW HAVEN, CT, 06511","-72.93221,41.307083",635790166,"R",9,9,361401,1004,"09009361401"
"223","243 0289 00800","PABX","00328 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.22,584500,283150,867650,867650,223,"00328 TEMPLE ST, New Haven, CT","Match","Exact","328 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92498,41.3093",3701190,"L",9,9,361402,2006,"09009361402"
"224","261 0252 00400","PABX","00330 COLLEGE ST","YALE UNIVERSITY",NA,"5150/1",2.88,2262470,33776050,36038520,36038520,224,"00330 COLLEGE ST, New Haven, CT","Match","Exact","330 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92817,41.308018",3701184,"L",9,9,361401,1002,"09009361401"
"225","263 0136 00100","PABX","00333 CEDAR ST","YALE UNIVERSITY",NA,"0/0",5.51,4328450,156402890,160731340,160731340,225,"00333 CEDAR ST, New Haven, CT","Match","Exact","333 CEDAR ST, NEW HAVEN, CT, 06519","-72.93367,41.30217",3700558,"R",9,9,140300,2010,"09009140300"
"226","280 0230 02400","PABX","00333 CROWN ST","YALE UNIVERSITY",NA,"7138/19",0.13,173670,14210,187880,187880,226,"00333 CROWN ST, New Haven, CT","Match","Exact","333 CROWN ST, NEW HAVEN, CT, 06511","-72.933044,41.307423",637983762,"R",9,9,361401,1005,"09009361401"
"227","247 0395 01700","PABX","00335 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",3.76,1999760,15190,2014950,2014950,227,"00335 PROSPECTST, New Haven, CT","Match","Exact","335 PROSPECT ST, NEW HAVEN, CT, 06511","-72.9234,41.31959",618696080,"R",9,9,361402,1000,"09009361402"
"228","247 0395 00100","PABX","00339 PROSPECT ST","YALE UNIVERSITY",NA,"2440/195",7.17,1304380,18336850,19641230,19641230,228,"00339 PROSPECTST, New Haven, CT","Match","Exact","339 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92339,41.31962",618696080,"R",9,9,361402,1000,"09009361402"
"229","245 0363 00800","PABX","00340 EDWARDS ST","YALE UNIVERSITY",NA,"0/0",0.51,144550,534660,679210,679210,229,"00340 EDWARDS ST, New Haven, CT","Match","Exact","340 EDWARDS ST, NEW HAVEN, CT, 06511","-72.92207,41.32008",637984079,"L",9,9,361402,1000,"09009361402"
"230","280 0230 02601","PABX","00341 CROWN ST","YALE UNIVERSITY",NA,"5922/293",0.32,175420,267540,442960,442960,230,"00341 CROWN ST, New Haven, CT","Match","Exact","341 CROWN ST, NEW HAVEN, CT, 06511","-72.93324,41.3075",637983762,"R",9,9,361401,1005,"09009361401"
"231","247 0395 01802","PABX","00341 SAINT RONAN ST","YALE UNIVERSITY",NA,"0/0",0.11,18340,0,18340,18340,231,"00341 SAINT RONAN ST, New Haven, CT","Match","Exact","341 SAINT RONAN ST, NEW HAVEN, CT, 06511","-72.91877,41.324657",3699968,"R",9,9,141800,2000,"09009141800"
"232","248 0395 00203","PABX","00341 SAINT RONAN ST","YALE UNIVERSITY",NA,"0/0",5.76,2722860,0,2722860,2722860,232,"00341 SAINT RONAN ST, New Haven, CT","Match","Exact","341 SAINT RONAN ST, NEW HAVEN, CT, 06511","-72.91877,41.324657",3699968,"R",9,9,141800,2000,"09009141800"
"233","285 0392 00100","PABX","00344 WINCHESTER AV","RENAISSANCE I LLC",NA,"9156/337",15.25,1123150,13226640,14349790,14349790,233,"00344 WINCHESTER AV, New Haven, CT","Match","Exact","344 WINCHESTER AVE, NEW HAVEN, CT, 06511","-72.92817,41.32428",3699772,"L",9,9,141500,6005,"09009141500"
"234","243 0311 00100","PABX","00347 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",1.66,1304030,48718740,50022770,50022770,234,"00347 TEMPLE ST, New Haven, CT","Match","Exact","347 TEMPLE ST, NEW HAVEN, CT, 06511","-72.924164,41.310394",3701200,"R",9,9,361402,2000,"09009361402"
"235","262 0203 00102","PABX","00350 GEORGE ST","YALE UNIVERSITY",NA,"9350/184",1.59,449050,9302510,9751560,9751560,235,"00350 GEORGE ST, New Haven, CT","Match","Exact","350 GEORGE ST, NEW HAVEN, CT, 06511","-72.93143,41.305504",3701126,"L",9,9,140100,1023,"09009140100"
"236","248 0395 00201","PABX","00352 CANNER ST","YALE UNIVERSITY",NA,"0/0",2.2,693350,2762130,3455480,3455480,236,"00352 CANNER ST, New Haven, CT","Match","Exact","352 CANNER ST, NEW HAVEN, CT, 06511","-72.92021,41.325348",3755886,"L",9,9,141800,2001,"09009141800"
"237","280 0230 02800","PABX","00353 CROWN ST","YALE UNIVERSITY",NA,"5330/34",0.35,319200,3568600,3887800,3887800,237,"00353 CROWN ST, New Haven, CT","Match","Exact","353 CROWN ST, NEW HAVEN, CT, 06511","-72.93353,41.307613",637983762,"R",9,9,361401,1005,"09009361401"
"238","247 0394 00600","PABX","00360 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",4.67,1103900,4115440,5219340,5219340,238,"00360 PROSPECTST, New Haven, CT","Match","Exact","360 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92339,41.322697",604739016,"L",9,9,141800,3004,"09009141800"
"239","219 0459 00100","PABX","00363 SAINT RONAN ST","BERKELEY DIVINITY SCHOOL",NA,"0/0",0.71,148820,1019060,1167880,1167880,239,"00363 SAINT RONAN ST, New Haven, CT","Match","Exact","363 SAINT RONAN ST, NEW HAVEN, CT, 06511","-72.918434,41.325592",3699973,"R",9,9,141800,1014,"09009141800"
"240","279 0136 00100","PABX","00367 CEDAR ST","YALE UNIVERSITY(HARKNESS HALL)",NA,"0/0",1.49,1170470,12719560,13890030,13890030,240,"00367 CEDAR ST, New Haven, CT","Match","Exact","367 CEDAR ST, NEW HAVEN, CT, 06519","-72.93384,41.302464",3700558,"R",9,9,140300,2010,"09009140300"
"241","277 0124 01600","PABX","00370 CONGRESS AV","YALE UNIVERSITY",NA,"5595/166",2.22,1743980,136800860,138544840,138544840,241,"00370 CONGRESS AV, New Haven, CT","Match","Exact","370 CONGRESS AVE, NEW HAVEN, CT, 06519","-72.93437,41.30162",3701246,"L",9,9,140300,2021,"09009140300"
"242","249 0457 00400","PABX","00375 CANNER ST","YALE UNIVERSITY",NA,"0/0",1.08,212730,927640,1140370,1140370,242,"00375 CANNER ST, New Haven, CT","Match","Exact","375 CANNER ST, NEW HAVEN, CT, 06511","-72.92149,41.325466",3755887,"R",9,9,141800,1016,"09009141800"
"243","263 0135 00200","PABX","00375 CONGRESS AV","YALE UNIVERSITY",NA,"0/0",1.91,4873750,43441370,48315120,48315120,243,"00375 CONGRESS AV, New Haven, CT","Match","Exact","375 CONGRESS AVE, NEW HAVEN, CT, 06519","-72.93479,41.301506",3701246,"R",9,9,140300,2009,"09009140300"
"244","247 0394 00500","PABX","00386 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",1.7,401870,1948030,2349900,2349900,244,"00386 PROSPECTST, New Haven, CT","Match","Exact","386 PROSPECT ST, NEW HAVEN, CT, 06511","-72.923386,41.32299",604739016,"L",9,9,141800,3004,"09009141800"
"245","259 0330 01000","PABX","00400 YORK ST","YALE UNIVERSITY",NA,"5025/324",1.19,934850,30961770,31896620,31896620,245,"00400 YORK ST, New Haven, CT","No_Match","","","",NA,"",NA,NA,NA,NA,NA
"246","223 0334 00700","PABX","00405 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.05,235970,264880,500850,500850,246,"00405 TEMPLE ST, New Haven, CT","Match","Exact","405 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92306,41.311977",639746015,"R",9,9,142000,3008,"09009142000"
"247","247 0394 00300","PABX","00406 PROSPECT ST","YALE UNIVERSITY",NA,"7240/187",0.86,306460,783790,1090250,1090250,247,"00406 PROSPECTST, New Haven, CT","Match","Exact","406 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92337,41.323345",3755893,"L",9,9,141800,3004,"09009141800"
"248","223 0334 01201","PABX","00419 TEMPLE ST","YALE UNIVERSITY",NA,"3408/20",0.18,283850,11340,295190,295190,248,"00419 TEMPLE ST, New Haven, CT","Match","Exact","419 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92302,41.312027",639746015,"R",9,9,142000,3008,"09009142000"
"249","244 0333 01000","PABX","00420 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.73,1961960,4973360,6935320,6935320,249,"00420 TEMPLE ST, New Haven, CT","Match","Exact","420 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92265,41.312576",637983945,"L",9,9,361402,1013,"09009361402"
"250","248 0395 00204","PABX","00423 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",5.51,2387770,29727950,32115720,32115720,250,"00423 PROSPECTST, New Haven, CT","Match","Exact","423 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92329,41.324146",637984102,"R",9,9,141800,2003,"09009141800"
"251","244 0333 00900","PABX","00432 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.1,257110,578200,835310,835310,251,"00432 TEMPLE ST, New Haven, CT","Match","Exact","432 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92259,41.312664",637983945,"L",9,9,361402,1013,"09009361402"
"252","223 0334 01501","PABX","00433 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.2,218540,1398810,1617350,1617350,252,"00433 TEMPLE ST, New Haven, CT","Match","Exact","433 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92299,41.31208",639746015,"R",9,9,142000,3008,"09009142000"
"253","244 0333 00800","PABX","00442 TEMPLE ST","YALE UNIVERSITY",NA,"0/0",0.18,282590,203210,485800,485800,253,"00442 TEMPLE ST, New Haven, CT","Match","Exact","442 TEMPLE ST, NEW HAVEN, CT, 06511","-72.92255,41.312737",637983945,"L",9,9,361402,1013,"09009361402"
"254","243 0289 02000","PABX","00451 COLLEGE ST","YALE UNIVERSITY",NA,"0/0",0.46,684530,3406410,4090940,4090940,254,"00451 COLLEGE ST, New Haven, CT","Match","Exact","451 COLLEGE ST, NEW HAVEN, CT, 06511","-72.926575,41.310078",3701182,"R",9,9,361402,2006,"09009361402"
"255","278 0134 00400","PABX","00457 CONGRESS AV","YALE UNIVERSITY",NA,"0/0",0.08,30800,0,30800,30800,255,"00457 CONGRESS AV, New Haven, CT","Match","Exact","457 CONGRESS AVE, NEW HAVEN, CT, 06519","-72.93603,41.301155",3700560,"R",9,9,140600,2000,"09009140600"
"256","248 0395 00205","PABX","00459 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",0.17,191870,502600,694470,694470,256,"00459 PROSPECTST, New Haven, CT","Match","Exact","459 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92324,41.324398",637984102,"R",9,9,141800,2003,"09009141800"
"257","243 0289 00100","PABX","00469 COLLEGE ST","YALE UNIVERSITY",NA,"0/0",0.18,567140,7244930,7812070,7812070,257,"00469 COLLEGE ST, New Haven, CT","Match","Exact","469 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92643,41.310272",3701182,"R",9,9,361402,2006,"09009361402"
"258","260 0288 00102","PABX","00470 COLLEGE ST","YALE UNIVERSITY(SPRAGUE MEMOR)",NA,"0/0",1.13,887670,17781190,18668860,18668860,258,"00470 COLLEGE ST, New Haven, CT","Match","Exact","470 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92643,41.3103",3701182,"L",9,9,361402,2005,"09009361402"
"259","243 0310 00300","PABX","00493 COLLEGE ST","YALE UNIVERSITY",NA,"0/0",0.14,545720,5474770,6020490,6020490,259,"00493 COLLEGE ST, New Haven, CT","Match","Exact","493 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92624,41.31053",3701182,"R",9,9,361402,2006,"09009361402"
"260","243 0310 00112","PABX","00497 COLLEGE ST","YALE UNIVERSITY",NA,"9091/251",0.44,841820,5217660,6059480,6059480,260,"00497 COLLEGE ST, New Haven, CT","Match","Exact","497 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92621,41.310577",3701182,"R",9,9,361402,2006,"09009361402"
"261","260 0309 00200","PABX","00500 COLLEGE ST","YALE UNIVERSITY-(WOOLSEY HALL)",NA,"0/0",1.66,1304030,18635470,19939500,19939500,261,"00500 COLLEGE ST, New Haven, CT","Match","Exact","500 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92608,41.31078",3701187,"L",9,9,361402,2002,"09009361402"
"262","243 0310 00100","PABX","00509 COLLEGE ST","YALE UNIVERSITY",NA,"0/0",2.7,2121000,39651500,41772500,41772500,262,"00509 COLLEGE ST, New Haven, CT","Match","Exact","509 COLLEGE ST, NEW HAVEN, CT, 06511","-72.92602,41.310837",3701187,"R",9,9,361402,2001,"09009361402"
"263","249 0457 00500","PABX","00511 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",0.94,272720,1253140,1525860,1525860,263,"00511 PROSPECTST, New Haven, CT","Match","Exact","511 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92263,41.326065",3699831,"R",9,9,141800,1016,"09009141800"
"264","249 0457 00600","PABX","00533 PROSPECT ST","YALE UNIVERSITY",NA,"0/0",1.39,219030,939190,1158220,1158220,264,"00533 PROSPECTST, New Haven, CT","Match","Exact","533 PROSPECT ST, NEW HAVEN, CT, 06511","-72.9223,41.326763",3699825,"R",9,9,141800,1016,"09009141800"
"265","277 0114 01000","PABX","00655 HOWARD AV","BETA 14 LLC",NA,"8404/316",0.16,49980,0,49980,49980,265,"00655 HOWARD AV, New Haven, CT","Match","Exact","655 HOWARD AVE, NEW HAVEN, CT, 06519","-72.93454,41.298775",3700564,"R",9,9,140300,2023,"09009140300"
"266","277 0114 01100","PABX","00659 HOWARD AV","BETA 14 LLC",NA,"8404/313",0.09,45080,0,45080,45080,266,"00659 HOWARD AV, New Haven, CT","Match","Exact","659 HOWARD AVE, NEW HAVEN, CT, 06519","-72.93456,41.298836",3700564,"R",9,9,140300,2023,"09009140300"
"267","277 0114 01200","PABX","00663 HOWARD AV","BETA 14 LLC",NA,"8404/310",0.09,45010,0,45010,45010,267,"00663 HOWARD AV, New Haven, CT","Match","Exact","663 HOWARD AVE, NEW HAVEN, CT, 06519","-72.934586,41.298893",3700564,"R",9,9,140300,2023,"09009140300"
"268","252 0508 00100","PABX","00700 PROSPECT ST","ALBERTUS MAGNUS COLLEGE",NA,"0/0",28.3,2939510,22423520,25363030,25363030,268,"00700 PROSPECTST, New Haven, CT","Match","Exact","700 PROSPECT ST, NEW HAVEN, CT, 06511","-72.921135,41.331516",637982044,"L",9,9,141800,4000,"09009141800"
"269","450 1223 00200","PABX","00746 FOUNTAIN ST","YALE UNIVERSITY",NA,"5567/338",13.52,325640,0,325640,325640,269,"00746 FOUNTAIN ST, New Haven, CT","Match","Exact","746 FOUNTAIN ST, NEW HAVEN, CT, 06515","-72.98325,41.32995",3697166,"L",9,9,141100,1004,"09009141100"
"270","278 0134 00300","PABX","00760 HOWARD AV","YALE UNIVERSITY",NA,"0/0",0.59,34440,0,34440,34440,270,"00760 HOWARD AV, New Haven, CT","Match","Exact","760 HOWARD AVE, NEW HAVEN, CT, 06519","-72.93562,41.301903",3700547,"L",9,9,140600,2000,"09009140600"
"271","251 1068 00200","PABX","00765 PROSPECT ST","ALBERTUS MAGNUS COLLEGE",NA,"0/0",0.81,151900,704970,856870,856870,271,"00765 PROSPECTST, New Haven, CT","Match","Exact","765 PROSPECT ST, NEW HAVEN, CT, 06511","-72.92068,41.33263",3699892,"R",9,9,141800,1007,"09009141800"
"272","278 0134 00200","PABX","00780 HOWARD AV","YALE UNIVERSITY",NA,"0/0",1.15,781270,4991420,5772690,5772690,272,"00780 HOWARD AV, New Haven, CT","Match","Exact","780 HOWARD AVE, NEW HAVEN, CT, 06519","-72.93596,41.302483",3700547,"L",9,9,140600,2000,"09009140600"
"273","278 0134 00100","PABX","00800 HOWARD AV","YALE UNIVERSITY",NA,"0/0",0.85,1901130,12407150,14308280,14308280,273,"00800 HOWARD AV, New Haven, CT","Match","Exact","800 HOWARD AVE, NEW HAVEN, CT, 06519","-72.9363,41.303062",3700547,"L",9,9,140600,2000,"09009140600"
