addr.housenumber,addr.street,addr.city
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
157,Church street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
129,church Street,New Haven
NA,NA,NA
360,State Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
142,Temple Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
980,Chapel Street,New Haven
NA,NA,NA
NA,NA,NA
149,York Street,NA
26,High Street,NA
38,High Street,NA
301,Crown Street,New Haven
32,High Street,NA
28,High Street,NA
NA,NA,NA
36,High Street,NA
295,Crown Street,New Haven
313-319,Crown Street,New Haven
305,Crown Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
27,Hillhouse Avenue,New Haven
30,Hillhouse Avenue,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
37,High Street,NA
27,High Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1022,Chapel Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
31,High Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
230,George Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
123,York Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
135,College Street,New Haven
NA,NA,NA
NA,NA,NA
218,George Street,New Haven
216,Crown Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
1,Church Street,New Haven
38,Crown Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
205,Park Street,New Haven
NA,NA,NA
NA,NA,NA
211,Park Street,New Haven
NA,NA,NA
190,York Street,New Haven
180,York Street,New Haven
215,Park Street,New Haven
204,York Street,New Haven
NA,NA,NA
NA,NA,NA
146,York Street,New Haven
NA,NA,NA
NA,NA,NA
165,Park Street,NA
1142,Chapel Street,NA
1172,Chapel Street,NA
220,York Street,New Haven
NA,NA,NA
NA,NA,NA
212,York Street,New Haven
NA,NA,NA
NA,NA,NA
202,York Street,New Haven
NA,NA,NA
337,Crown Street,NA
232,York Street,New Haven
NA,NA,NA
1156,Chapel Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
353,Crown Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
80,Audubon Street,New Haven
NA,NA,NA
31,Whitney Avenue,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
78,Audubon Street,New Haven
NA,NA,NA
NA,NA,NA
55,Whitney Avenue,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
38,Trumbull Street,NA
NA,NA,NA
NA,NA,NA
2,Lincoln Street,NA
NA,NA,NA
64,Trumbull Street,NA
58,Trumbull Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
9,Lincoln Street,NA
60,Trumbull Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
66,Trumbull Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
389,Orange Street,New Haven
NA,NA,NA
432â€“434,Temple Street,New Haven
2,Hillhouse Avenue,New Haven
NA,NA,NA
15,Hillhouse Avenue,New Haven
442,Temple Street,NA
NA,NA,NA
NA,NA,NA
87,Trumbull Street,NA
38,Hillhouse Avenue,New Haven
77,Prospect Street,New Haven
35,Hillhouse Avenue,NA
37,Hillhouse Avenue,NA
33,Hillhouse Avenue,New Haven
36,Sachem Street,NA
110,Whitney Avenue,NA
31,Hillhouse Avenue,NA
NA,NA,NA
NA,NA,NA
655,Orange Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
140;142,Edwards Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
487,Orange Street,NA
463,Orange Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
507,Orange Street,NA
511,Orange Street,NA
NA,NA,NA
451,Orange Street,NA
NA,NA,NA
373,Humphrey Street,NA
NA,NA,NA
NA,NA,NA
459,Orange Street,NA
495,Orange Street,NA
68,Pearl Street,NA
174,Bradley Street,NA
NA,NA,NA
437,Orange Street,NA
NA,NA,NA
445,Orange Street,NA
479,Orange Street,NA
NA,NA,NA
431,Orange Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
90,Pearl Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
"120,122",Bishop Street,NA
NA,NA,NA
86,Pearl Street,NA
NA,NA,NA
168,Bradley Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
82,Pearl Street,NA
74,Pearl Street,NA
NA,NA,NA
162,Bradley Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
503,Orange Street,NA
NA,NA,NA
154,Bradley Street,NA
519,Orange Street,NA
455,Orange Street,NA
NA,NA,NA
NA,NA,NA
76,Pearl Street,NA
NA,NA,NA
78,Pearl Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
591,Orange Street,NA
NA,NA,NA
441,Orange Street,NA
475,Orange Street,NA
481,Orange Street,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
83,Trumbull Street,NA
79,Trumbull Street,NA
10,Sachem Street,New Haven
219,Prospect Street,NA
272,Whitney Avenue,New Haven
205,Prospect Street,NA
217,Prospect Street,NA
350,Edwards Street,New Haven
266,Whitney Avenue,NA
255,Prospect Street,NA
340,Edwards Street,New Haven
360,Edwards Street,New Haven
380,Edwards Street,New Haven
301,Prospect Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
93,Pearl Street,NA
NA,NA,NA
539,Orange Street,New Haven
531,Orange Street,New Haven
527,Orange Street,New Haven
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
48,Pearl Street,NA
NA,NA,NA
NA,NA,NA
20,Pearl Street,NA
88,Clark Street,New Haven
24,Pearl Street,NA
