GEOID,race,hs,college,pov,ins,mobi,estimate,race_prop,rent
09009352600,M,0.6808510638297872,0,0.08287292817679558,0,0,181,0.03579197152461934,0.6808510638297872
09009352701,M,1,0.75,0,0,0,28,0.008791208791208791,0.5384615384615384
09009352702,M,0.7094594594594594,0,0,0,0.8,250,0.04128137384412153,1
09009352800,M,0.4666666666666667,0.26153846153846155,0.03463203463203463,0,0.030303030303030276,462,0.07114259316291961,0.39759036144578314
09009361100,M,1,0.2571428571428571,0,0,0,122,0.01701534170153417,0
09009361200,M,NaN,NaN,0,0,0,91,0.016545454545454544,NaN
09009361300,M,1,1,0,0,0,23,0.005151175811870101,NaN
09009361401,M,1,1,0.9210526315789473,0,0.4418604651162791,129,0.03190699975265892,1
09009361402,M,1,1,0,0.05228758169934641,0.23529411764705888,153,0.05254120879120879,NaN
09009361500,M,0.9014778325123153,0.270935960591133,0.2863961813842482,0.08582089552238806,0.41604477611940294,536,0.05800238069473001,0.8055555555555556
09009990000,M,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
09009120100,W,0.9248756218905473,0.2791044776119403,0.035810391223349204,0.05423307803767336,0.08182741116751269,4947,0.7375875950499479,0.16593460224499756
09009120200,W,0.791015625,0.171484375,0.2256797583081571,0.03474320241691843,0.07115327601541654,3415,0.5027974087161367,0.49344692005242463
09009125100,W,0.9282218597063622,0.2688417618270799,0.07529527559055119,0.037082514734774065,0.0241173545499751,4083,0.7912790697674419,0.08900523560209424
09009125200,W,0.9659763313609467,0.23557692307692307,0.09482758620689655,0.02586206896551724,0.0731003526771401,3132,0.4922980194907262,0.46744036105738235
09009125300,W,0.9037610619469026,0.2195796460176991,0.06986531986531987,0.00997506234413965,0.021214642262895156,2406,0.3941031941031941,0.33270499528746467
