Unique ID,Street address,City,State,ZIP
10188,ELM ST,New Haven,CT,
10189,116 HOWE ST,New Haven,CT,
10190,104 HOWE ST,New Haven,CT,
10191,42 KNEELAND RD,New Haven,CT,
10192,100 HOWE ST,New Haven,CT,
10193,98 HOWE ST,New Haven,CT,
10194,96 HOWE ST,New Haven,CT,
10195,94 HOWE ST,New Haven,CT,
10196,61 EDGEWOOD AV,New Haven,CT,
10197,65 EDGEWOOD AV,New Haven,CT,
10198,67 EDGEWOOD AV,New Haven,CT,
10199,73 EDGEWOOD AV,New Haven,CT,
10200,75 EDGEWOOD AV,New Haven,CT,
10201,55 SYLVAN AV,New Haven,CT,
10202,36 KNEELAND RD,New Haven,CT,
10203,105 ASYLUM ST,New Haven,CT,
10204,109 ASYLUM ST,New Haven,CT,
10205,140 LEGION AV,New Haven,CT,
10206,170 WARD ST,New Haven,CT,
10207,164 WARD ST,New Haven,CT,
10208,37 SYLVAN AV,New Haven,CT,
10209,43 SYLVAN AV,New Haven,CT,
10210,45 SYLVAN AV,New Haven,CT,
10211,47 SYLVAN AV,New Haven,CT,
10212,51 SYLVAN AV,New Haven,CT,
10213,30 KNEELAND RD,New Haven,CT,
10214,53 SYLVAN AV,New Haven,CT,
10215,33 SYLVAN AV,New Haven,CT,
10216,80 LEGION AV,New Haven,CT,
10217,72 LEGION AV,New Haven,CT,
10218,675 TOWNSEND AV #185,New Haven,CT,
10219,24 KNEELAND RD,New Haven,CT,
10220,60 LEGION AV,New Haven,CT,
10221,46 LEGION AV,New Haven,CT,
10222,34 LEGION AV,New Haven,CT,
10223,28 LEGION AV,New Haven,CT,
10224,LEGION AV,New Haven,CT,
10225,8 LEGION AV,New Haven,CT,
10226,LEGION AV,New Haven,CT,
10227,920 HOWARD AV,New Haven,CT,
10228,916 HOWARD AV,New Haven,CT,
10229,914 HOWARD AV,New Haven,CT,
10230,20 KNEELAND RD,New Haven,CT,
10231,HOWARD AV,New Haven,CT,
10232,914 HOWARD AV,New Haven,CT,
10233,912 HOWARD AV,New Haven,CT,
